code,parent_code,name,Latitude,Longitude
1811,18,KABUPATEN MESUJI,-3.8603899999999385,105.45733000000007
1812,18,KABUPATEN TULANG BAWANG BARAT,-4.483299999999929,105.09112000000005
1813,18,KABUPATEN PESISIR BARAT,-7.03389999999996,112.63790000000006
1871,18,KOTA BANDAR LAMPUNG,-5.4254399999999805,105.25803000000008
1872,18,KOTA METRO,-5.113059999999962,105.30667000000005
1901,19,KABUPATEN BANGKA,-2.249999999999943,106.00000000000006
1902,19,KABUPATEN BELITUNG,-2.8333299999999326,108.00000000000006
1903,19,KABUPATEN BANGKA BARAT,-2.0520499999999515,105.21071000000006
1904,19,KABUPATEN BANGKA TENGAH,-2.326949999999954,106.07483000000008
1905,19,KABUPATEN BANGKA SELATAN,-2.752749999999935,106.29509000000007
1906,19,KABUPATEN BELITUNG TIMUR,-2.8788599999999747,108.05279000000007
1971,19,KOTA PANGKAL PINANG,-2.110429999999951,106.11257000000006
2101,21,KABUPATEN KARIMUN,0.9999700000000757,103.43129000000005
2102,21,KABUPATEN BINTAN,1.120300000000043,104.43671000000006
2103,21,KABUPATEN NATUNA,3.9087800000000357,108.20168000000007
2104,21,KABUPATEN LINGGA,-0.16690999999997302,104.66075000000006
2105,21,KABUPATEN KEPULAUAN ANAMBAS,2.924690000000055,105.74407000000008
2171,21,KOTA B A T A M,16.968110000000024,43.30177000000003
2172,21,KOTA TANJUNG PINANG,0.9662700000000655,104.47132000000005
3101,31,KABUPATEN KEPULAUAN SERIBU,-5.796669999999949,106.49628000000007
3171,31,KOTA JAKARTA SELATAN,-6.253739999999937,106.79731000000004
3172,31,KOTA JAKARTA TIMUR,-6.228469999999959,106.88543000000004
3173,31,KOTA JAKARTA PUSAT,-6.200079999999957,106.83265000000006
3174,31,KOTA JAKARTA BARAT,-6.1867299999999545,106.73971000000006
3175,31,KOTA JAKARTA UTARA,-6.13062999999994,106.89701000000008
3201,32,KABUPATEN BOGOR,-6.58693999999997,106.76694000000003
3202,32,KABUPATEN SUKABUMI,-7.094899999999939,106.71550000000008
3203,32,KABUPATEN CIANJUR,-6.7724999999999795,107.08306000000005
3204,32,KABUPATEN BANDUNG,-6.996669999999938,107.49750000000006
3205,32,KABUPATEN GARUT,-7.499999999999943,107.83333000000005
3206,32,KABUPATEN TASIKMALAYA,-7.496699999999976,108.16930000000008
3207,32,KABUPATEN CIAMIS,-7.499999999999943,108.66667000000007
3208,32,KABUPATEN KUNINGAN,-6.997499999999945,108.55550000000005
3209,32,KABUPATEN CIREBON,-6.739599999999939,108.50910000000005
3210,32,KABUPATEN MAJALENGKA,-6.758889999999951,108.24944000000005
3211,32,KABUPATEN SUMEDANG,-6.776669999999967,107.97778000000005
3212,32,KABUPATEN INDRAMAYU,-6.448059999999941,108.19194000000005
3213,32,KABUPATEN SUBANG,-6.416669999999954,107.50000000000006
3214,32,KABUPATEN PURWAKARTA,-6.600559999999973,107.42639000000008
3215,32,KABUPATEN KARAWANG,-6.265829999999937,107.37250000000006
3216,32,KABUPATEN BEKASI,-6.246669999999938,107.10833000000008
3217,32,KABUPATEN BANDUNG BARAT,-6.734269999999981,107.43904000000003
3218,32,KABUPATEN PANGANDARAN,-7.701309999999978,108.49448000000007
3271,32,KOTA BOGOR,-6.594439999999963,106.78917000000007
3272,32,KOTA SUKABUMI,-6.918059999999969,106.92667000000006
3273,32,KOTA BANDUNG,-6.903889999999933,107.61861000000005
3274,32,KOTA CIREBON,-6.706299999999942,108.55700000000007
3275,32,KOTA BEKASI,-6.234899999999925,106.98960000000005
3276,32,KOTA DEPOK,-6.399999999999977,106.81861000000004
3277,32,KOTA CIMAHI,-6.87221999999997,107.54250000000008
3278,32,KOTA TASIKMALAYA,-7.327399999999955,108.22070000000008
3279,32,KOTA BANJAR,3.4936000000000718,98.35130000000004
3301,33,KABUPATEN CILACAP,-7.574169999999981,108.98861000000005
3302,33,KABUPATEN BANYUMAS,-7.3783299999999485,109.18917000000005
3303,33,KABUPATEN PURBALINGGA,-7.2841699999999605,109.35028000000005
3304,33,KABUPATEN BANJARNEGARA,-7.499999999999943,109.83333000000005
3305,33,KABUPATEN KEBUMEN,-7.639169999999979,109.66056000000009
3306,33,KABUPATEN PURWOREJO,-7.689169999999933,109.96000000000004
3307,33,KABUPATEN WONOSOBO,-7.439719999999966,110.04139000000004
3308,33,KABUPATEN MAGELANG,-7.427499999999952,110.16194000000007
3309,33,KABUPATEN BOYOLALI,-7.833329999999933,110.25000000000006
3310,33,KABUPATEN KLATEN,-7.695559999999944,110.75806000000006
3311,33,KABUPATEN SUKOHARJO,-7.76971999999995,110.71917000000008
3312,33,KABUPATEN WONOGIRI,-7.912499999999966,111.04611000000006
3313,33,KABUPATEN KARANGANYAR,-7.628059999999948,111.06250000000006
3314,33,KABUPATEN SRAGEN,-7.384439999999927,111.00972000000007
3315,33,KABUPATEN GROBOGAN,-7.107399999999927,110.96910000000008
3316,33,KABUPATEN BLORA,-6.999999999999943,111.50000000000006
